13.36.36.415461,5556,13314,13371,13554,19467,7926,2650,7310,15121,12634,226,24184
13.36.36.453192,12340,13229,20982,10340,19494,13260,10912,23861,7793,11778,12904,20034
13.36.36.492788,19018,9428,5468,12694,19599,16737,22322,225,14441,12521,24166,261
13.36.36.530376,4765,13643,14078,12231,19481,11896,155,9967,12673,13265,18043,24182
13.36.36.567740,12084,12511,18623,12267,19521,11746,12498,16211,16130,11292,1531,16701
13.36.36.605783,12056,12603,11250,10936,19580,12675,23998,19755,6993,12952,12995,1729
13.36.36.644131,15187,9813,12227,12520,19578,16864,12981,222,14370,12710,24175,253
13.36.36.680751,4758,13691,12606,12524,19472,10412,149,13042,12105,12818,902,24175
13.36.36.719831,12601,12741,21900,11109,19498,13089,11436,24025,10317,11142,1787,24174
13.36.36.755649,11941,12879,13713,10655,19532,13177,13258,23836,6301,11681,14000,24169
13.36.36.791481,18583,10378,3295,12680,19576,15092,24027,229,15116,12766,22382,258
13.36.36.829346,8677,12257,13327,12327,19555,14454,155,1200,13176,13140,24175,227
13.36.36.866208,9284,13137,13434,13406,19484,7253,10348,4820,17803,12267,241,24188
13.36.36.903379,12657,12551,21707,10772,19480,13184,10712,23885,10160,10900,6152,22191
13.36.36.940806,16505,11155,7407,11819,19538,13028,24021,23621,5667,13188,14973,301
13.36.36.977222,15489,9657,8235,12568,19587,18329,13656,243,14881,12769,24160,269
13.36.37.013993,5279,14244,12540,12302,19475,12232,162,1072,12663,13686,23883,24186
13.36.37.051013,12021,13136,16361,12452,19515,8102,12154,12300,17983,11678,241,24064
13.36.37.087598,11979,13038,18881,10644,19494,13343,11025,23899,8061,11126,5640,15033
13.36.37.123830,15039,10902,7026,12504,19604,13029,24014,1863,12401,13353,12036,268
13.36.37.161363,13619,10373,11373,12599,19606,17153,7959,210,14321,12721,24164,2449
13.36.37.199006,7302,13347,12716,13407,19508,7267,8935,12763,17279,12498,226,24183
13.36.37.237468,12373,13179,17699,10456,19510,13316,11074,23932,7304,11258,10943,21698
13.36.37.274406,17010,10823,5294,12580,19609,14398,24024,202,13329,12919,14695,263
13.36.37.312058,11437,11470,12686,12381,19619,16041,2185,204,14440,12657,24161,228
13.36.37.348456,5850,13469,13759,13248,19478,7092,7765,12469,16439,12333,221,24181
13.36.37.386964,12451,12687,20559,11152,19490,12676,10838,23606,12353,11067,1242,17679
13.36.37.422576,11673,12148,12651,11469,19588,12659,24009,16908,5280,12887,14507,7315
13.36.37.460403,16172,9856,11049,12445,19592,17315,8526,207,14402,12770,24169,238
13.36.37.498497,5776,13684,13658,12768,19463,9897,186,13865,12633,13117,9174,24178
13.36.37.534405,11941,13033,14191,13179,19500,8296,12058,8864,18103,11672,239,24184
13.36.37.571514,12060,13546,18187,10228,19489,13443,12415,23746,6137,12280,14581,24166
13.36.37.608324,18491,10387,3746,12340,19570,12610,24005,23671,4111,12846,14487,12979
13.36.37.643272,17393,9696,4712,12647,19568,15837,24021,11277,12646,12962,11933,277
13.36.37.678858,11349,11079,12814,12363,19540,15788,160,214,13941,12975,24176,6126
13.36.37.715985,7814,13447,13795,13465,19437,5261,5809,2045,14834,12437,237,24187
